Role,Name,User Addresses,User IDs,Target,Target ID,Function
0,Admin,0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb,sepolia_ebtc_highsec_timelock,"0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9
0x85A074FF5adDf47fD66c94C780E7596922B3d1D9","sepolia_ebtc_authority
sepolia_ebtc_authority
sepolia_ebtc_authority
sepolia_ebtc_authority
sepolia_ebtc_authority
sepolia_ebtc_authority
sepolia_ebtc_authority","SET_ROLE_NAME_SIG
SET_USER_ROLE_SIG
SET_ROLE_CAPABILITY_SIG
SET_PUBLIC_CAPABILITY_SIG
BURN_CAPABILITY_SIG
TRANSFER_OWNERSHIP_SIG
SET_AUTHORITY_SIG"
1,eBTCToken: mint,,,0xeA2D83AA5e7da0668AdbddADAAc28e51318DDd86,sepolia_assets_ebtc,MINT_SIG
2,eBTCToken: burn,,,"0xeA2D83AA5e7da0668AdbddADAAc28e51318DDd86
0xeA2D83AA5e7da0668AdbddADAAc28e51318DDd86","sepolia_assets_ebtc
sepolia_assets_ebtc","BURN_SIG
BURN2_SIG"
3,CDPManager: all,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock","0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0","sepolia_ebtc_cdp_manager
sepolia_ebtc_cdp_manager
sepolia_ebtc_cdp_manager
sepolia_ebtc_cdp_manager
sepolia_ebtc_cdp_manager","SET_STAKING_REWARD_SPLIT_SIG
SET_REDEMPTION_FEE_FLOOR_SIG
SET_MINUTE_DECAY_FACTOR_SIG
SET_BETA_SIG
SET_GRACE_PERIOD_SIG"
4,CDPManager+BorrowerOperations+ActivePool: pause,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076
0xC8A7768D2a9EE15437c981a7130268622083c2BD
0x664F43229dDa9fdEE00e723753f88f3Ba81967F6","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock
sepolia_ebtc_wallets_security_multisig
sepolia_ebtc_wallets_techops_multisig","0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0x3D6697c8Cfcc36b68a3077d0a94385B8904B1299
0x8EbA6a17Fcd480A96a87308C560170206186D3EA","sepolia_ebtc_cdp_manager
sepolia_ebtc_borrower_operations
sepolia_ebtc_active_pool","SET_REDEMPTIONS_PAUSED_SIG
SET_FLASH_LOANS_PAUSED_SIG
SET_FLASH_LOANS_PAUSED_SIG"
5,BorrowerOperations+ActivePool: setFeeBps,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock","0x3D6697c8Cfcc36b68a3077d0a94385B8904B1299
0x8EbA6a17Fcd480A96a87308C560170206186D3EA","sepolia_ebtc_borrower_operations
sepolia_ebtc_active_pool","SET_FEE_BPS_SIG
SET_FEE_BPS_SIG"
6,ActivePool+CollSurplusPool: sweepToken,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076
0x5C1246E0b464060919301273781a266Ac119A0Bb","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock
sepolia_ebtc_wallets_fee_recipient_multisig","0x8EbA6a17Fcd480A96a87308C560170206186D3EA
0x6a6Ee2146f851fA745016B9e5592379f775b4ff3","sepolia_ebtc_active_pool
sepolia_ebtc_coll_surplus_pool","SWEEP_TOKEN_SIG
SWEEP_TOKEN_SIG"
7,ActivePool: claimFeeRecipientCollShares,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076
0x5C1246E0b464060919301273781a266Ac119A0Bb","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock
sepolia_ebtc_wallets_fee_recipient_multisig",0x8EbA6a17Fcd480A96a87308C560170206186D3EA,sepolia_ebtc_active_pool,CLAIM_FEE_RECIPIENT_COLL_SIG
8,EbtcFeed: setPrimaryOracle,0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb,sepolia_ebtc_highsec_timelock,0x14BBa0A866f49D1ef33096557e661bE20BeBADA0,sepolia_ebtc_ebtc_feed,SET_PRIMARY_ORACLE_SIG
9,EbtcFeed: setSecondaryOracle,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock",0x14BBa0A866f49D1ef33096557e661bE20BeBADA0,sepolia_ebtc_ebtc_feed,SET_SECONDARY_ORACLE_SIG
10,PriceFeed: setFallbackCaller,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock",0xd2Bdc5Acb219ECeEE3578DA86774BBE4dd85665E,sepolia_ebtc_price_feed,SET_FALLBACK_CALLER_SIG
11,PriceFeed+CDPManager: CollFeedSource & RedemptionFeeFloor,"0x0393846e97ab5Ec1DC8CB7A59Ee8505F72A6aEEb
0xaADf07C98E2420E4d995Ba41Db53399648f50076","sepolia_ebtc_highsec_timelock
sepolia_ebtc_lowsec_timelock","0x39D6613ABEDd78a0b8edEEfE62cDEc85FCbe08c0
0xd2Bdc5Acb219ECeEE3578DA86774BBE4dd85665E","sepolia_ebtc_cdp_manager
sepolia_ebtc_price_feed","SET_REDEMPTION_FEE_FLOOR_SIG
SET_COLLATERAL_FEED_SOURCE_SIG"
